DR10_train_00,2014-11-26-23-24-34-486389
DR10_train_01,2014-11-27-01-38-07-167053
DR10_train_02,2014-12-02-20-48-05-973389,2014-11-27-03-48-11-180908
DR10_train_03,2014-12-03-20-49-53-677246,2014-12-03-01-27-23-981323,2014-11-27-06-26-21-626282
DR10_train_04,2014-11-30-16-32-16-341370,2014-11-30-16-25-42-356140,2014-12-03-22-54-44-709717,2014-12-02-23-15-37-881226,2014-12-03-08-02-25-950684,2014-11-27-08-18-27-942535
DR10_train_05,2014-12-03-05-37-55-002563,2014-11-27-10-42-57-437851
DR10_train_06,2014-11-30-20-49-09-184082,2014-11-30-20-47-31-949341,2014-12-03-05-45-44-835632,2014-11-27-13-11-25-463318
DR10_train_07,2014-12-07-09-07-43-016235,2014-12-07-04-09-18-567993,2014-12-06-07-36-26-805542
DR10_train_08,2014-12-07-09-06-45-740601,2014-12-03-10-40-22-396729,2014-12-03-16-30-56-734131,2014-12-03-11-33-29-451782
DR10_train_09,2014-12-07-14-40-26-045654,2014-12-03-11-27-21-247162,2014-12-01-03-04-40-624222,2014-12-01-03-05-47-694351,2014-12-03-11-45-06-423248
DR10_train_10,2014-12-07-13-34-35-953430,2014-12-03-14-15-50-481323,2014-12-03-14-15-03-332642
DR10_train_11,2014-12-03-16-16-38-323380
DR10_train_12,2014-12-12-18-57-50-245117,2014-12-07-17-58-22-627502,2014-12-07-18-07-56-922546
DR10_train_13,2014-12-12-18-33-22-802124,2014-12-12-17-14-38-745239,2014-12-13-13-21-05-528687,2014-12-07-19-38-39-924744
DR10_train_14,2014-12-14-17-33-47-445068,2014-12-13-15-23-59-743896,2014-12-13-21-13-19-893677
DR10_train_15,2014-12-13-17-50-56-889526,2014-12-15-08-24-08-749878,2014-12-15-08-23-35-384277,2014-12-14-09-04-52-689209
DR10_train_16,2014-12-13-19-19-46-765015,2014-12-13-15-41-30-314880,2014-12-14-23-28-36-888916
DR10_train_17,2014-12-13-21-26-25-877930,2014-12-15-12-41-00-274536,2014-12-15-12-40-00-171265,2014-12-15-04-45-36-866150,2014-12-14-16-53-37-185547,2014-12-08-02-26-12-858716,2014-12-08-02-25-50-593603
DR10_train_18,2014-12-18-20-15-26-591675,2014-12-14-07-15-22-838928
